City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,Geraldton,-28.7667,114.6,63.01,88,100,26.46,AU,2022-08-01 05:38:12
120,Cabo San Lucas,22.8909,-109.9124,84.51,81,32,4.0,MX,2022-08-01 05:34:56
121,Severo-Kurilsk,50.6789,156.125,55.89,73,33,6.58,RU,2022-08-01 05:39:06
122,Ayutla,20.1167,-104.3333,66.38,86,100,0.98,MX,2022-08-01 05:39:06
123,Port Elizabeth,-33.918,25.5701,47.32,84,0,4.61,ZA,2022-08-01 05:39:06
124,Zlobin,45.2924,14.6541,68.16,61,0,0.0,HR,2022-08-01 05:39:07
125,Pacifica,37.6138,-122.4869,66.72,93,100,14.97,US,2022-08-01 05:36:06
126,Bambous Virieux,-20.3428,57.7575,74.21,83,75,18.41,MU,2022-08-01 05:39:07
127,Aquiraz,-3.9014,-38.3911,78.89,88,18,11.05,BR,2022-08-01 05:39:08
128,Voh,-20.9667,164.7,73.96,75,93,6.4,NC,2022-08-01 05:39:08
129,Buraydah,26.326,43.975,90.05,38,81,10.76,SA,2022-08-01 05:39:08
130,Sur,22.5667,59.5289,91.31,55,61,7.9,OM,2022-08-01 05:39:09
131,North Bend,43.4065,-124.2243,63.25,100,100,4.61,US,2022-08-01 05:38:18
132,Comodoro Rivadavia,-45.8667,-67.5,39.06,56,0,4.61,AR,2022-08-01 05:39:10
133,Asau,46.4333,26.4,63.52,89,66,3.18,RO,2022-08-01 05:39:10
134,Narsaq,60.9167,-46.05,48.42,91,100,3.2,GL,2022-08-01 05:40:10
135,Hasaki,35.7333,140.8333,93.6,74,87,12.01,JP,2022-08-01 05:36:52
136,Ardesen,41.1911,40.9875,77.63,74,8,3.27,TR,2022-08-01 05:40:11
137,Cayenne,4.9333,-52.3333,78.1,1,72,0.0,GF,2022-08-01 05:40:11
138,Praia,14.9215,-23.5087,75.74,78,40,10.36,CV,2022-08-01 05:40:12
139,Eureka,40.8021,-124.1637,69.67,87,57,5.01,US,2022-08-01 05:39:11
140,Lebu,-37.6167,-73.65,45.41,84,100,5.91,CL,2022-08-01 05:38:15
