City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
77,Novikovo,51.1537,37.8879,71.24,50,66,11.9,RU,2022-08-01 05:38:13,broken clouds
78,Mayumba,-3.432,10.6554,68.9,95,56,6.13,GA,2022-08-01 05:38:13,broken clouds
79,Celestun,20.8667,-90.4,78.8,86,62,12.15,MX,2022-08-01 05:38:14,broken clouds
80,Agadez,19.75,10.25,84.7,42,23,7.38,NE,2022-08-01 05:38:14,few clouds
81,Saint-Leu,-21.15,55.2833,75.31,64,13,1.95,RE,2022-08-01 05:38:14,few clouds
82,Lebu,-37.6167,-73.65,45.41,84,100,5.91,CL,2022-08-01 05:38:15,overcast clouds
83,Saint Anthony,45.0205,-93.218,75.09,79,0,10.36,US,2022-08-01 05:38:15,clear sky
84,Waingapu,-9.6567,120.2641,84.42,61,23,8.72,ID,2022-08-01 05:38:15,few clouds
85,Lagoa,39.05,-27.9833,72.27,75,0,7.54,PT,2022-08-01 05:38:16,clear sky
86,Hermanus,-34.4187,19.2345,38.8,74,0,7.96,ZA,2022-08-01 05:36:28,clear sky
87,Prado,-17.3411,-39.2208,70.27,90,84,7.18,BR,2022-08-01 05:38:16,broken clouds
88,Fortuna,40.5982,-124.1573,61.36,87,40,1.01,US,2022-08-01 05:38:17,scattered clouds
89,Maldonado,-34.6667,-54.9167,43.99,87,8,3.62,UY,2022-08-01 05:38:17,clear sky
90,North Bend,43.4065,-124.2243,63.25,100,100,4.61,US,2022-08-01 05:38:18,overcast clouds
91,Kitovo,56.8659,41.2825,68.09,54,76,4.34,RU,2022-08-01 05:39:18,broken clouds
92,Tura,25.5198,90.2201,75.2,97,100,3.8,IN,2022-08-01 05:39:18,overcast clouds
93,Castro,-24.7911,-50.0119,51.04,80,0,1.57,BR,2022-08-01 05:37:54,clear sky
94,Kamaishi,39.2667,141.8833,74.64,96,100,4.94,JP,2022-08-01 05:39:19,overcast clouds
95,Ilulissat,69.2167,-51.1,53.62,40,80,10.36,GL,2022-08-01 05:36:29,broken clouds
96,Tahe,52.3333,124.7333,85.55,32,8,5.79,CN,2022-08-01 05:39:19,clear sky
97,Hambantota,6.1241,81.1185,80.94,94,75,11.5,LK,2022-08-01 05:39:20,moderate rain
98,Nara,34.6851,135.8049,100.96,36,82,10.2,JP,2022-08-01 05:39:20,broken clouds
99,Watsa,3.0372,29.5355,63.81,99,100,2.75,CD,2022-08-01 05:39:21,light rain
100,Bredasdorp,-34.5322,20.0403,41.5,82,0,3.27,ZA,2022-08-01 05:39:21,clear sky
101,Faanui,-16.4833,-151.75,78.08,73,24,26.64,PF,2022-08-01 05:36:32,light rain
102,Ust-Tsilma,65.441,52.1498,69.8,52,99,8.23,RU,2022-08-01 05:39:21,overcast clouds
103,Jadu,31.953,12.0261,76.69,39,0,2.57,LY,2022-08-01 05:39:22,clear sky
104,Bakchar,57.0186,82.0711,50.43,96,100,7.78,RU,2022-08-01 05:39:22,light rain
105,Orahovac,42.3994,20.6547,64.26,44,0,3.31,XK,2022-08-01 05:39:23,clear sky
106,Barcelos,41.5388,-8.6151,73.85,53,0,2.75,PT,2022-08-01 05:39:23,clear sky
107,Roebourne,-20.7833,117.1333,78.98,54,22,15.93,AU,2022-08-01 05:39:23,few clouds
108,San Policarpo,12.1791,125.5072,85.35,70,75,10.33,PH,2022-08-01 05:39:24,broken clouds
109,Finschhafen,-6.6024,147.8681,83.75,70,78,10.25,PG,2022-08-01 05:39:24,broken clouds
110,Quatre Cocos,-20.2078,57.7625,74.08,76,28,12.01,MU,2022-08-01 05:36:24,light rain
111,Kapaa,22.0752,-159.319,82.38,77,40,18.41,US,2022-08-01 05:37:42,scattered clouds
112,Atambua,-9.1061,124.8925,81.55,62,62,0.78,ID,2022-08-01 05:39:25,broken clouds
113,Rawlins,41.7911,-107.2387,69.69,40,0,5.75,US,2022-08-01 05:39:25,clear sky
114,Upernavik,72.7868,-56.1549,47.16,61,56,5.46,GL,2022-08-01 05:39:26,broken clouds
115,San Quintin,30.4833,-115.95,69.6,81,5,6.29,MX,2022-08-01 05:39:26,clear sky
